name,urlname
R-Ladies Barcelona,rladies-barcelona
R-Ladies Bilbao,rladies-bilbao
R-Ladies Tucson AZ,rladies-tucson-az
R-Ladies Porto Alegre,rladies-porto-alegre
R-Ladies Bariloche,rladies-bariloche
R-Ladies Canberra,rladies-canberra
R-Ladies Tiruchirappalli,rladies-tiruchirappalli
R-Ladies Guayaquil,rladies-guayaquil
R-Ladies Ushuaia,rladies-ushuaia
R-Ladies Melbourne,rladies-melbourne
R-Ladies Johannesburg,rladies-johannesburg
R-Ladies Exeter,rladies-exeter
R-Ladies Frankfurt,rladies-frankfurt
R-Ladies Kansas City,rladies-kansas-city
R-Ladies Houston,rladies-houston
R-Ladies Quito,rladies-quito
R-Ladies Madrid,rladies-madrid
R-Ladies Belgrade,rladies-belgrade
R-Ladies Novi Sad,rladies-novi-sad
R-Ladies London,rladies-london
R-Ladies Bucharest,rladies-bucharest
R-Ladies Highland Park,rladies-highland-park
R-Ladies Xalapa,rladies-xalapa
R-Ladies Puebla,rladies-puebla
R-Ladies Seattle,rladies-seattle
R-Ladies Edinburgh,rladies-edinburgh
R-Ladies Nijmegen,rladies-nijmegen
R-Ladies Newcastle,rladies-newcastle
R-Ladies Brisbane,rladies-brisbane
R-Ladies Oslo,rladies-oslo
R-Ladies East Lansing,rladies-eastlansing
R-Ladies Boulder,rladies-boulder
R-Ladies Freiburg,rladies-freiburg
R-Ladies Fayetteville,rladies-fayetteville
R-Ladies Goiânia,rladies-goiania
R-Ladies Athens,rladies-athens-ga
R-Ladies Santa Barbara,rladies-santa-barbara
R-Ladies Lyon,rladies-lyon
R-Ladies Lausanne,rladies-lausanne
R-Ladies Montpellier,rladies-montpellier
R-Ladies Berlin,rladies-berlin
R-Ladies Vienna,rladies-vienna
R-Ladies Kyiv,rladies-kyiv
R-Ladies Iowa City,rladies-iowa-city
R-Ladies Des Moines,rladies-des-moines
R-Ladies Kathmandu,rladies-kathmandu
R-Ladies Salvador,rladies-salvador
R-Ladies Riverside,rladies-riverside
R-Ladies Perth,rladies-perth
R-Ladies Auckland,rladies-auckland
R-Ladies Christchurch,rladies-christchurch
R-Ladies Gainesville,rladies-gainesville
R-Ladies Baltimore,rladies-baltimore
R-Ladies Copenhagen,rladies-copenhagen
R-Ladies Columbus,rladies-columbus
R-Ladies Addis Ababa,rladies-addis-ababa
R-Ladies Wageningen,rladies-wageningen
R-Ladies Stockholm,rladies-stockholm
R-Ladies L'viv,rladies-lviv
R-Ladies Toronto,rladies-toronto
R-Ladies New Delhi,rladies-new-delhi
R-Ladies Atlanta,rladies-atlanta
R-Ladies Natal,rladies-natal
R-Ladies Pasadena,rladies-pasadena
R-Ladies Sydney,rladies-sydney
R-Ladies Niterói,rladies-niteroi
R-Ladies Dallas,rladies-dallas
R-Ladies Tampa,rladies-tampa
R-Ladies El Paso,rladies-el-paso
R-Ladies Liverpool,rladies-liverpool
R-Ladies Rotterdam,rladies-rotterdam
R-Ladies Leuven,rladies-leuven
R-Ladies Amsterdam,rladies-amsterdam
R-Ladies Utrecht,rladies-utrecht
R-Ladies Göteborg,rladies-goteborg
R-Ladies Rabat,rladies-rabat
R-Ladies Cincinnati,rladies-cincinnati
R-Ladies Louisville,rladies-louisville
R-Ladies Denver,rladies-denver
R-Ladies Remote,rladies-remote
R-Ladies Lavras,rladies-lavras
R-Ladies Lima,rladies-lima
R-Ladies Jakarta,rladies-jakarta
R-Ladies Los Angeles,rladies-la
R-Ladies Helsinki,rladies-helsinki
R-Ladies Lancaster,rladies-lancaster
R-Ladies Munich,rladies-munich
R-Ladies Cotonou,rladies-cotonou
R-Ladies Mumbai,rladies-mumbai
R-Ladies Recife,rladies-recife
R-Ladies Mendoza,rladies-mendoza
R-Ladies Ames,rladies-ames
R-Ladies Resistencia-Corrientes,rladies-resistencia-corrientes
R-Ladies Montevideo,rladies-montevideo
R-Ladies Córdoba,rladies-cordoba
R-Ladies Santa Rosa,rladies-santa-rosa
R-Ladies Philly,rladies-philly
R-Ladies Chicago,rladies-chicago
R-Ladies Vancouver,rladies-vancouver
R-Ladies Cambridge,rladies-cambridge
R-Ladies Oxford,rladies-oxford
R-Ladies Loughborough,rladies-loughborough
R-Ladies La Plata,rladies-la-plata
R-Ladies Manchester,rladies-manchester
R-Ladies Paris,rladies-paris
R-Ladies Niš,rladies-nis
R-Ladies Tbilisi,rladies-tbilisi
R-Ladies Boston,rladies-boston
R-Ladies Montreal,rladies-montreal
R-Ladies Irvine,rladies-irvine
"R-Ladies London, Ontario",rladies-ldnont
R-Ladies Coventry,rladies-coventry
R-Ladies Sarasota,rladies-sarasota
R-Ladies Manaus,R-Ladies-Manaus
R-Ladies São Paulo,rladies-sao-paulo
R-Ladies Santa Fe,rladies-santa-fe
R-Ladies Buenos Aires,rladies-buenos-aires
R-Ladies San Jose,rladies-san-jose
R-Ladies La Paz,rladies-la-paz
R-Ladies Dublin,rladies-dublin
R-Ladies Syracuse,rladies-syracuse
R-Ladies Nashville,rladies-nashville
R-Ladies New Orleans,rladies-new-orleans
R-Ladies Monterrey,rladies-monterrey
R-Ladies Colombo,rladies-colombo
R-Ladies Santiago,rladies-scl
R-Ladies Mid-Mo,rladies-mid-mo
R-Ladies Rio de Janeiro,rladies-rio
R-Ladies Charlottesville,rladies-charlottesville
R-Ladies Chennai,rladies-chennai
R-Ladies Brussels,rladies-brussels
R-Ladies Cape Town,rladies-cape-town
R-Ladies Vitória,rladies-vitoria
R-Ladies Strasbourg,rladies-strasbourg
R-Ladies San Diego,rladies-san-diego
R-Ladies Orlando,rladies-orlando
South Central PA R-Ladies,South-Central-PA-R-Ladies
R-Ladies Montenegro,rladies-montenegro
R-Ladies Washington D.C.,rladies-dc
R-Ladies RTP,rladies-rtp
R-Ladies San Francisco,rladies-san-francisco
R-Ladies Curitiba,rladies-curitiba
R-Ladies Valparaíso,rladies-valparaiso
R-Ladies Belo Horizonte,rladiesbh
R-Ladies Bari,rladies-bari
R-Ladies Milan,rladies-milan
R-Ladies New York,rladies-newyork
R-Ladies Pune,rladies-pune
R-Ladies Bergen,rladies-bergen
R-Ladies Ottawa,rladies-ottawa
R-Ladies Lexington Park,rladies-lexington-park
R-Ladies Cuernavaca,rladies-cuernavaca
R-Ladies Buffalo,rladies-buffalo
R-Ladies Yaoundé,rladies-yaounde
R-Ladies CDMX,rladies-cdmx
R-Ladies Taipei,rladies-taipei
R-Ladies Lisboa,rladies-lisboa
R-Ladies Ribeirão Preto,rladies-ribeirao-preto
R-Ladies St. Louis,rladies-st-louis
R-Ladies PDX,rladies-pdx
R-Ladies Miami,rladies-miami
Spotkania Entuzjastów R-Warsaw RUG Meetup & R-Ladies Warsaw,Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup
R-Ladies Twin Cities,rladies-tc
R-Ladies Abuja,rladies-abuja
R-Ladies Istanbul,rladies-istanbul
R-Ladies Madison,R-Ladies-Madison
R-Ladies Budapest,rladies-budapest
R-Ladies Hartford,rladies-hartford
R-Ladies Austin,rladies-austin
R-Ladies Ankara,rladies-ankara
R-Ladies Bogor,rladies-bogor
R-Ladies Den Bosch,rladies-den-bosch
R-Ladies Calgary,rladies-calgary
R-Ladies Eskisehir,rladies-eskisehir
R-Ladies Oxford Ohio,rladies-oxford-ohio
R-Ladies Podgorica,rladies-podgorica
R-Ladies Al-Khartum,rladies-al-khartum
R-Ladies Masqat,rladies-masqat
R-Ladies Beijing,rladies-beijing
R-Ladies Nelson,rladies-nelson
R-Ladies Lagos,rladies-lagos
R-Ladies Floripa,rladies-florianopolis
R-Ladies Galapagos Islands,rladies-galapagos-islands
R-Ladies Medellín,rladies-medellin
R-Ladies Queretaro,rladies-queretaro
R-Ladies Pachuca,rladies-pachuca
R-Ladies Aguascalientes,rladies-aguascalientes
R-Ladies Ha Noi,rladies-ha-noi
R-Ladies General Pico,rladies-general-pico
R-Ladies Concepción,rladies-concepcion
R-Ladies Adelaide,rladies-adelaide
R-Ladies İzmiR,rladies-izmir
R-Ladies Bogotá,rladies-bogota
