English,Spanish
RLadies+,RLadies+
R-Ladies,R-Ladies
Code of Conduct,Código de Conducta
chapter,capítulo
chapters,capítulos
organiser,organizador/a
organisers,organizadores/as
community member,miembro de la comunidad
community members,miembros de la comunidad
minority genders,géneros minoritarios
gender diversity,diversidad de género
gender minority,minoría de género
non-binary,no binario
genderqueer,genderqueer
agender,agénero
meetup,meetup
Meetup,Meetup
open source,código abierto
R package,paquete de R
R packages,paquetes de R
R community,comunidad de R
R user,usuario/a de R
R users,usuarios/as de R
Global Team,Equipo Global
global team,equipo global
mentor,mentora
mentee,aprendiz
speaker,ponente
speakers,ponentes
talk,charla
talks,charlas
workshop,taller
workshops,talleres
tutorial,tutorial
tutorials,tutoriales
blog post,publicación del blog
blog posts,publicaciones del blog
get involved,participa
directory,directorio
abstract review,revisión de resúmenes
abstract,resumen
abstracts,resúmenes
Slack,Slack
GitHub,GitHub
Mastodon,Mastodon
Bluesky,Bluesky
