English,French
RLadies+,RLadies+
R-Ladies,R-Ladies
Code of Conduct,Code de Conduite
chapter,chapitre
chapters,chapitres
organiser,organisateur·rice
organisers,organisateur·rice·s
community member,membre de la communauté
community members,membres de la communauté
minority genders,genres minoritaires
gender diversity,diversité de genre
gender minority,minorité de genre
non-binary,non-binaire
genderqueer,genderqueer
agender,agenre
meetup,meetup
Meetup,Meetup
open source,open source
R package,paquet R
R packages,paquets R
R community,communauté R
R user,utilisateur·rice de R
R users,utilisateur·rice·s de R
Global Team,Équipe Mondiale
global team,équipe mondiale
mentor,mentor·e
mentee,mentoré·e
speaker,intervenant·e
speakers,intervenant·e·s
talk,présentation
talks,présentations
workshop,atelier
workshops,ateliers
tutorial,tutoriel
tutorials,tutoriels
blog post,article de blog
blog posts,articles de blog
get involved,impliquez-vous
directory,répertoire
abstract review,relecture de résumés
abstract,résumé
abstracts,résumés
Slack,Slack
GitHub,GitHub
Mastodon,Mastodon
Bluesky,Bluesky
